name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Aachen,Valid,L5,21,Fell,01/01/1880 12:00:00 AM,50.775,6.08333,"(50.775000, 6.083330)"
Aarhus,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.18333,10.23333,"(56.183330, 10.233330)"
Abee,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.21667,-113,"(54.216670, -113.000000)"
Acapulco,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.88333,-99.9,"(16.883330, -99.900000)"
Achiras,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33.16667,-64.95,"(-33.166670, -64.950000)"
Adhi Kot,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32.1,71.8,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44.83333,95.16667,"(44.833330, 95.166670)"
Agen,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44.21667,0.61667,"(44.216670, 0.616670)"
Aguada,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31.6,-65.23333,"(-31.600000, -65.233330)"
Aguila Blanca,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30.86667,-64.55,"(-30.866670, -64.550000)"
Aioun el Atrouss,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,"(16.398060, -9.570280)"
Aïr,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19.08333,8.38333,"(19.083330, 8.383330)"
Aire-sur-la-Lys,Valid,Unknown,,Fell,01/01/1769 12:00:00 AM,50.66667,2.33333,"(50.666670, 2.333330)"
Akaba,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29.51667,35.05,"(29.516670, 35.050000)"
Akbarpur,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,"(29.716670, 77.950000)"
Akwanga,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,"(8.916670, 8.433330)"
Akyumak,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,"(39.916670, 42.816670)"
Al Rais,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,"(24.416670, 39.516670)"
Al Zarnkh,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13.66033,28.96,"(13.660330, 28.960000)"
Alais,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44.11667,4.08333,"(44.116670, 4.083330)"
Albareto,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,"(44.650000, 11.016670)"
Alberta,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2,22.66667,"(2.000000, 22.666670)"
Alby sur Chéran,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45.82133,6.01533,"(45.821330, 6.015330)"
Aldsworth,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51.78333,-1.78333,"(51.783330, -1.783330)"
Aleppo,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,"(36.233330, 37.133330)"
Alessandria,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44.88333,8.75,"(44.883330, 8.750000)"
Alexandrovsky,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50.95,31.81667,"(50.950000, 31.816670)"
Alfianello,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,"(45.266670, 10.150000)"
Allegan,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,"(42.533330, -85.883330)"
Allende,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.96667,-105.31667,"(26.966670, -105.316670)"
Almahata Sitta,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20.74575,32.41275,"(20.745750, 32.412750)"
Alta'ameem,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.27333,44.21556,"(35.273330, 44.215560)"
Ambapur Nagla,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27.66667,78.25,"(27.666670, 78.250000)"
Andhara,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26.58333,85.56667,"(26.583330, 85.566670)"
Andover,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44.61667,-70.75,"(44.616670, -70.750000)"
Andreevka,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.7,37.5,"(48.700000, 37.500000)"
Andura,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20.88333,76.86667,"(20.883330, 76.866670)"
Northwest Africa 5815,Valid,L5,256.8,Found,,0,0,"(0.000000, 0.000000)"
Angers,Valid,L6,,Fell,01/01/1822 12:00:00 AM,47.46667,-0.55,"(47.466670, -0.550000)"
Angra dos Reis (stone),Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22.96667,-44.31667,"(-22.966670, -44.316670)"
Ankober,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9.53333,39.71667,"(9.533330, 39.716670)"
Anlong,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,"(25.150000, 105.183330)"
Aomori,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.81056,140.78556,"(40.810560, 140.785560)"
Appley Bridge,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53.58333,-2.71667,"(53.583330, -2.716670)"
Apt,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43.86667,5.38333,"(43.866670, 5.383330)"
Arbol Solo,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33,-66,"(-33.000000, -66.000000)"
Archie,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38.5,-94.3,"(38.500000, -94.300000)"
Arroyo Aguiar,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.41667,-60.66667,"(-31.416670, -60.666670)"
Asco,Valid,H6,41,Fell,01/01/1805 12:00:00 AM,42.45,9.03333,"(42.450000, 9.033330)"
Ash Creek,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,31.805,-97.01,"(31.805000, -97.010000)"
Ashdon,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,52.05,0.3,"(52.050000, 0.300000)"
Assisi,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,43.03333,12.55,"(43.033330, 12.550000)"
Atarra,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.25417,80.625,"(25.254170, 80.625000)"
Atemajac,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,20.06667,-103.66667,"(20.066670, -103.666670)"
Athens,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.75,-87,"(34.750000, -87.000000)"
Atoka,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.31667,-96.15,"(34.316670, -96.150000)"
Aubres,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.38333,5.16667,"(44.383330, 5.166670)"
Aumale,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.16667,3.66667,"(36.166670, 3.666670)"
Aumieres,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.33333,3.23333,"(44.333330, 3.233330)"
Ausson,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.08333,0.58333,"(43.083330, 0.583330)"
Avanhandava,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.46028,-49.95083,"(-21.460280, -49.950830)"
Avce,Valid,"Iron, IIAB",1230,Fell,01/01/1908 12:00:00 AM,46,13.5,"(46.000000, 13.500000)"
Avilez,Valid,H,146,Fell,01/01/1855 12:00:00 AM,25,-103.5,"(25.000000, -103.500000)"
Awere,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.71667,32.83333,"(2.716670, 32.833330)"
Aztec,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,36.8,-108,"(36.800000, -108.000000)"
Bachmut,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,48.6,38,"(48.600000, 38.000000)"
Bahjoi,Valid,"Iron, IAB-sLL",10322,Fell,01/01/1934 12:00:00 AM,28.48333,78.5,"(28.483330, 78.500000)"
Bald Mountain,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,35.96667,-82.48333,"(35.966670, -82.483330)"
Baldwyn,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,34.5,-88.66667,"(34.500000, -88.666670)"
Bali,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,5.38333,16.38333,"(5.383330, 16.383330)"
Ban Rong Du,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 12:00:00 AM,16.66667,101.18333,"(16.666670, 101.183330)"
Bandong,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,-6.91667,107.6,"(-6.916670, 107.600000)"
Bansur,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,27.7,76.33333,"(27.700000, 76.333330)"
